,Model number,sSpec number,Cores,Frequency,Turbo,L2 cache,L3 cache,TDP,Socket,I/O bus,Memory,Release date,Part number(s),Release price (USD),Cores (threads),Turbo Boost all-core/2.0 (/max. 3.0),GPU model,GPU frequency,vteIntel processors,vteIntel processors.1,Turbo Boost all-core/2.0),FSB,Mult.,Voltage,Mult,Front side bus,Multiplier,Release price,L2 Cache,Turbo Boost all-core/max turbo,Turbo Boost all-core/max turbo 2.0/max turbo 3.0
311,Xeon E-2104G,SR3WV (U0),,3.2 GHz,—,4 × 256 KB,8 MB,65 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403653917,$193,4 (4),,HD Graphics P630,350-1100 MHz,,,,,,,,,,,,,
312,Xeon E-2124,SR3WQ (U0),,3.3 GHz,6/8/9/10,4 × 256 KB,8 MB,71 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403654114 BX80684E2124,$193 $198,4 (4),,—,—,,,,,,,,,,,,,
313,Xeon E-2124G,SR3WL (U0),,3.4 GHz,7/8/10/11,4 × 256 KB,8 MB,71 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403654114 BX80684E2124G,$213 $218,4 (4),,HD Graphics P630,350–1150 MHz,,,,,,,,,,,,,
314,Xeon E-2126G,SR3WU (U0),,3.3 GHz,8/9/9/10/11/12,6 × 256 KB,12 MB,80 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403380219,$255,6 (6),,HD Graphics P630,350–1150 MHz,,,,,,,,,,,,,
315,Xeon E-2134,SR3WP (U0),,3.5 GHz,7/8/9/10,4 × 256 KB,8 MB,71 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403654319 BX80684E2134,$250 $256,4 (8),,—,—,,,,,,,,,,,,,
316,Xeon E-2136,SR3WW (U0),,3.3 GHz,9/10/10/10/11/12,6 × 256 KB,12 MB,80 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403654318 BX80684E2136,$284 $289,6 (12),,—,—,,,,,,,,,,,,,
317,Xeon E-2144G,SR3WM (U0),,3.6 GHz,6/7/8/9,4 × 256 KB,8 MB,71 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403654220,$272,4 (8),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
318,Xeon E-2146G,SR3WT (U0),,3.5 GHz,7/8/8/8/9/10,6 × 256 KB,12 MB,80 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403380116 BX80684E2146G,$311 $317,6 (12),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
319,Xeon E-2174G,SR3WN (U0),,3.8 GHz,5/6/7/9,4 × 256 KB,8 MB,71 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403654221 BX80684E2174G,$328 $334,4 (8),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
320,Xeon E-2176G,SR3WS (U0),,3.7 GHz,6/7/7/8/9/10,6 × 256 KB,12 MB,80 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403380018 BX80684E2176G,$362 $367,6 (12),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
321,Xeon E-2186G,SR3WR (U0),,3.8 GHz,5/6/7/8/8/9,6 × 256 KB,12 MB,95 W,LGA 1151,DMI 3.0,,12 July 2018,CM8068403379918,$450,6 (12),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
322,Xeon E-2224,SRFAV (U0),,3.4 GHz,4.6 GHz,4 × 256 KB,8 MB,71 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404174707 BX80684E2224,$193,4 (4),,—,—,,,,,,,,,,,,,
323,Xeon E-2224G,SRFAW (U0),,3.5 GHz,4.7 GHz,4 × 256 KB,8 MB,71 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404173806 BX80684E2224G,$213,4 (4),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
324,Xeon E-2226G,SRF7F (U0),,3.4 GHz,4.7 GHz,6 × 256 KB,12 MB,80 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404174503 BX80684E2226G,$255,6 (6),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
325,Xeon E-2234,SRFAX (U0),,3.6 GHz,4.8 GHz,4 × 256 KB,8 MB,71 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404174806 BX80684E2234,$250,4 (8),,—,—,,,,,,,,,,,,,
326,Xeon E-2236,SRF7G (U0),,3.4 GHz,4.8 GHz,6 × 256 KB,12 MB,80 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404174603 BX80684E2236,$284,6 (12),,—,—,,,,,,,,,,,,,
327,Xeon E-2244G,SRFAY (U0),,3.8 GHz,4.8 GHz,4 × 256 KB,8 MB,71 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404175105,$272,4 (8),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
328,Xeon E-2246G,SRF7N (U0),,3.6 GHz,4.8 GHz,6 × 256 KB,12 MB,80 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404227903,$311,6 (12),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
329,Xeon E-2274G,SRFDE (U0),,4 GHz,4.9 GHz,4 × 256 KB,8 MB,83 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404174407 BX80684E2274G,$328,4 (8),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
330,Xeon E-2276G,SRF7M (U0),,3.8 GHz,4.9 GHz,6 × 256 KB,12 MB,80 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404227703,$362,6 (12),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
331,Xeon E-2278G,SRFB2 (R0),,3.4 GHz,5.0 GHz,8 × 256 KB,16 MB,80 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404225303,$494,8 (16),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
332,Xeon E-2286G,SRF7C (U0),,4 GHz,4.9 GHz,6 × 256 KB,12 MB,95 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404173706,$450,6 (12),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
333,Xeon E-2288G,SRFB3 (R0),,3.7 GHz,5.0 GHz,8 × 256 KB,16 MB,95 W,LGA 1151,DMI 3.0,,29 May 2019,CM8068404224102,$539,8 (16),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
335,Xeon E-2226GE,SRGQW (U0),,3.4 GHz,4.6 GHz,6 × 256 KB,12 MB,80 W,LGA 1151,DMI 3.0,,11 June 2019,CM8068404405020,OEM,6 (6),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
336,Xeon E-2278GE,SRGDY (R0),,3.3 GHz,4.7 GHz,8 × 256 KB,16 MB,80 W,LGA 1151,DMI 3.0,,11 June 2019,CM8068404196302,OEM,8 (16),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
338,Xeon E-2278GEL,SRGE2 (R0),,2 GHz,3.9 GHz,8 × 256 KB,16 MB,35 W,LGA 1151,DMI 3.0,,11 June 2019,CM8068404311303,OEM,8 (16),,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,
340,Xeon E-2176M,SR3YX (U0),,2.7 GHz,14/15/15/16/16/17,6 × 256 KB,12 MB,45 W,BGA 1440,DMI 3.0,,April 2018,CL8068403359116,$450,6 (12),,UHD Graphics 630,350–1200 MHz,,,,,,,,,,,,,
341,Xeon E-2186M,SRCKQ (U0),,2.9 GHz,14/15/16/18/19/19,6 × 256 KB,12 MB,45 W,BGA 1440,DMI 3.0,,April 2018,CL8068403359021,$623,6 (12),,UHD Graphics 630,350–1200 MHz,,,,,,,,,,,,,
342,Xeon E-2276M,SRFCK (R0),,2.8 GHz,4.7 GHz,6 × 256 KB,12 MB,45 W,BGA 1440,DMI 3.0,,May 2019,CL8068404068806,$450,6 (12),,UHD Graphics 630,350–1200 MHz,,,,,,,,,,,,,
343,Xeon E-2286M,SRFCZ (R0),,2.4 GHz,5.0 GHz,8 × 256 KB,16 MB,45 W,BGA 1440,DMI 3.0,,May 2019,CL8068404068710,$623,8 (16),,UHD Graphics 630,350–1250 MHz,,,,,,,,,,,,,
345,Xeon E-2254ME,SRFEM (U0),,2.6 GHz,3.8 GHz,4 × 256 KB,8 MB,45 W,BGA 1440,DMI 3.0,,June 2019,CL8068404175200,OEM,4 (8),,UHD Graphics 630,350–1100 MHz,,,,,,,,,,,,,
346,Xeon E-2276ME,SRFEC (U0),,2.8 GHz,4.5 GHz,6 × 256 KB,12 MB,45 W,BGA 1440,DMI 3.0,,June 2019,CL8068404164700,OEM,6 (12),,UHD Graphics 630,350–1150 MHz,,,,,,,,,,,,,
348,Xeon E-2254ML,SRFEJ (U0),,1.7 GHz,3.5 GHz,4 × 256 KB,8 MB,25 W,BGA 1440,DMI 3.0,,June 2019,CL8068404165301,OEM,4 (8),,UHD Graphics 630,350–1100 MHz,,,,,,,,,,,,,
349,Xeon E-2276ML,SRFEG (U0),,2 GHz,4.2 GHz,6 × 256 KB,12 MB,25 W,BGA 1440,DMI 3.0,,June 2019,CL8068404165100,OEM,6 (12),,UHD Graphics 630,350–1150 MHz,,,,,,,,,,,,,
352,Xeon W-1250,SRH48 (G1),,3.3 GHz,4.7 GHz,6 × 256 KB,12 MB,80 W,LGA 1200,DMI 3.0,,May 2020,CM8070104379507 BX80701W1250,$255,6 (12),,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,
353,Xeon W-1270,SRH96 (Q0),,3.4 GHz,5.0 GHz,8 × 256 KB,16 MB,80 W,LGA 1200,DMI 3.0,,May 2020,CM8070104380910 BX80701W1270,$362,8 (16),,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,
354,Xeon W-1290,SRH94 (Q0),,3.2 GHz,5.1 GHz (5.2 w/ TVB),10 × 256 KB,20 MB,80 W,LGA 1200,DMI 3.0,,May 2020,CM8070104379111 BX80701W1290,$494,10 (20),,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,
356,Xeon W-1250E,SRH6L (G1),,3.5 GHz,4.7 GHz,6 × 256 KB,12 MB,80 W,LGA 1200,DMI 3.0,,May 2020,CM8070104425005,$260,6 (12),,HD Graphics 630,350-1200 MHz,,,,,,,,,,,,,
357,Xeon W-1270E,SRJGE (Q0),,3.4 GHz,4.8 GHz,8 × 256 KB,16 MB,80 W,LGA 1200,DMI 3.0,,May 2020,CM8070104420607,$367,8 (16),,HD Graphics 630,350-1200 MHz,,,,,,,,,,,,,
358,Xeon W-1290E,SRJFB (Q0),,3.5 GHz,4.8 GHz,10 × 256 KB,20 MB,95 W,LGA 1200,DMI 3.0,,May 2020,CM8070104420510,$500,10 (20),,HD Graphics 630,350-1200 MHz,,,,,,,,,,,,,
360,Xeon W-1250P,SRH7H (Q0),,4.1 GHz,4.8 GHz,6 × 256 KB,12 MB,125 W,LGA 1200,DMI 3.0,,May 2020,CM8070104381006 BX80701W1250P,$311,6 (12),,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,
361,Xeon W-1270P,SRH95 (Q0),,3.8 GHz,5.1 GHz,8 × 256 KB,16 MB,125 W,LGA 1200,DMI 3.0,,May 2020,CM8070104380809 BX80701W1270P,$428,8 (16),,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,
362,Xeon W-1290P,SRH93 (Q0),,3.7 GHz,5.2 GHz (5.3 w/ TVB),10 × 256 KB,20 MB,125 W,LGA 1200,DMI 3.0,,May 2020,CM8070104378412,$539,10 (20),,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,
364,Xeon W-1290T,SRH97 (Q0),,1.9 GHz,4.7 GHz,10 × 256 KB,20 MB,35 W,LGA 1200,DMI 3.0,,May 2020,CM8070104429007,$494,10 (20),,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,
366,Xeon W-1250TE,SRH6M (G1),,2.4 GHz,3.8 GHz,6 × 256 KB,12 MB,35 W,LGA 1200,DMI 3.0,,May 2020,CM8070104440305,$260,6 (12),,HD Graphics 630,350-1150 MHz,,,,,,,,,,,,,
367,Xeon W-1270TE,SRJGF (Q0),,2 GHz,4.4 GHz,8 × 256 KB,16 MB,35 W,LGA 1200,DMI 3.0,,May 2020,CM8070104420706,$367,8 (16),,HD Graphics 630,350-1150 MHz,,,,,,,,,,,,,
368,Xeon W-1290TE,SRJFH (Q0),,1.8 GHz,4.5 GHz,10 × 256 KB,20 MB,35 W,LGA 1200,DMI 3.0,,May 2020,CM8070104440205,$500,10 (20),,HD Graphics 630,350-1200 MHz,,,,,,,,,,,,,
370,Xeon W-10855M,SRH8M (R1),,2.8 GHz,4.9 GHz (5.1 w/ TVB),6 × 256 KB,12 MB,45 W,BGA 1440,DMI 3.0,,May 2020,CL8070104398912,$450,6 (12),,UHD Graphics 630,350–1200 MHz,,,,,,,,,,,,,
371,Xeon W-10885M,SRH8L (R1),,2.4 GHz,5.1 GHz (5.3 w/ TVB),8 × 256 KB,16 MB,45 W,BGA 1440,DMI 3.0,,May 2020,CL8070104398811,$623,8 (16),,UHD Graphics 630,350–1250 MHz,,,,,,,,,,,,,
373,Xeon 3040,SL9VT (L2) SLAC2 (L2),2,1.87 GHz,,2 MB,,65 W,LGA 775,,,"January 21, 2007",HH80557KH0362M,$183,,,,,,,,1066 MT/s,7×,0.85–1.5 V,,,,,,,
374,Xeon 3050,SL9VS (L2) SLABZ (L2),2,2.13 GHz,,2 MB,,65 W,LGA 775,,,"January 21, 2007",HH80557KH0462M,$224,,,,,,,,1066 MT/s,8×,0.85–1.5 V,,,,,,,
376,Xeon 3040,SL9TW (B2),2,1.87 GHz,,2 MB,,65 W,LGA 775,,,"September 26, 2006",HH80557KH0362M,$183,,,,,,,,1066 MT/s,7×,0.85–1.5 V,,,,,,,
377,Xeon 3050,SL9TY (B2),2,2.13 GHz,,2 MB,,65 W,LGA 775,,,"September 26, 2006",HH80557KH0462M,$224,,,,,,,,1066 MT/s,8×,0.85–1.5 V,,,,,,,
378,Xeon 3060,SL9TZ (B2) SL9ZH (B2) SLACD (B2),2,2.4 GHz,,4 MB,,65 W,LGA 775,,,"September 26, 2006",HH80557KH0564M,$316,,,,,,,,1066 MT/s,9×,0.85–1.5 V,,,,,,,
379,Xeon 3065,SLAA9 (G0),2,2.33 GHz,,4 MB,,65 W,LGA 775,,,"October 7, 2007",HH80557KJ0534MG,$163,,,,,,,,1333 MT/s,7×,0.85–1.5 V,,,,,,,
380,Xeon 3070,SL9U2 (B2) SL9ZC (B2) SLACC (B2),2,2.67 GHz,,4 MB,,65 W,LGA 775,,,"September 26, 2006",HH80557KH0674M,$530,,,,,,,,1066 MT/s,10×,0.85–1.5 V,,,,,,,
381,Xeon 3075[1],SLAA3 (G0),2,2.67 GHz,,4 MB,,65 W,LGA 775,,,"October 7, 2007",HH80557KJ0674MG,$183,,,,,,,,1333 MT/s,8×,0.85–1.5 V,,,,,,,
382,Xeon 3085[2],SLAA2 (G0),2,3 GHz,,4 MB,,65 W,LGA 775,,,"October 7, 2007",HH80557KJ0804MG,$266,,,,,,,,1333 MT/s,9×,0.85–1.5 V,,,,,,,
384,Xeon L3014,SLBB2 (R0),1,2.4 GHz,,3 MB,,30 W,LGA 771,,,"February 27, 2008",AT80588JH0563M,OEM,,,,,,,,1066 MT/s,9×,0.85–1.3625 V,,,,,,,
386,Xeon E3113,SLBAX (E0),2,3 GHz,,6 MB,,65 W,LGA 771,,,"September 8, 2008",AT80588QJ0806M,OEM,,,,,,,,1333 MT/s,9×,0.85–1.3625 V,,,,,,,
388,Xeon E3110,SLAPM (C0) SLB9C (E0),2,3 GHz,,6 MB,,65 W,LGA 775,,,"January 8, 2008",EU80570KJ0806M AT80570KJ0806M,$188,,,,,,,,1333 MT/s,9×,0.85–1.3625 V,,,,,,,
389,Xeon E3120,SLB9D (E0),2,3.17 GHz,,6 MB,,65 W,LGA 775,,,"August 10, 2008",AT80570KJ0876M,$188,,,,,,,,1333 MT/s,9.5×,0.85–1.3625 V,,,,,,,
391,Xeon L3110,SLGP9 (E0),2,3 GHz,,6 MB,,45 W,LGA 775,,,"February 22, 2009",AT80570JJ0806M,$224,,,,,,,,1333 MT/s,9×,0.85–1.3625 V,,,,,,,
393,Xeon 5110,SL9RZ (B2) SLABR (B2) SLAGE (G0),2,1.6 GHz,,4 MB,,65 W,LGA 771,,,"June 26, 2006",HH80556KH0254M BX805565110A BX805565110P,$209,,,,,,,,1066 MT/s,6×,1.0–1.5 V,,,,,,,
394,Xeon 5120,SL9RY (B2) SLABQ (B2) SLAGD (G0),2,1.87 GHz,,4 MB,,65 W,LGA 771,,,"June 26, 2006",HH80556KH0364M BX805565120A BX805565120P,$256,,,,,,,,1066 MT/s,7×,1.0–1.5 V,,,,,,,
395,Xeon 5130,SL9RX (B2) SLABP (B2) SLAGC (G0),2,2 GHz,,4 MB,,65 W,LGA 771,,,"June 26, 2006",HH80556KJ0414M BX805565130A BX805565130P,$316,,,,,,,,1333 MT/s,6×,1.0–1.5 V,,,,,,,
396,Xeon 5140,SL9RW (B2) SLABN (B2) SLAGB (G0),2,2.33 GHz,,4 MB,,65 W,LGA 771,,,"June 26, 2006",HH80556KJ0534M BX805565140A BX805565140P,$455,,,,,,,,1333 MT/s,7×,1.0–1.5 V,,,,,,,
397,Xeon 5150,SL9RU (B2) SLABM (B2) SLAGA (G0),2,2.67 GHz,,4 MB,,65 W,LGA 771,,,"June 26, 2006",HH80556KJ0674M BX805565150A BX805565150P,$690,,,,,,,,1333 MT/s,8×,1.0–1.5 V,,,,,,,
398,Xeon 5160,SL9RT (B2) SLABS (B2) SLAG9 (G0),2,3 GHz,,4 MB,,80 W,LGA 771,,,"June 26, 2006",HH80556KJ0804M BX805565160A BX805565160P,$851,,,,,,,,1333 MT/s,9×,1.0–1.5 V,,,,,,,
400,Xeon LV 5113,SLABL (G0) SLAG7,2,1.6 GHz,,4 MB,,40 W,LGA 771,,,"December 4, 2006",HH80556JG0254M,OEM,,,,,,,,800 MT/s,8×,1.15–1.25 V,,,,,,,
401,Xeon LV 5128,SL9XA (B2) SLAG6 (G0),2,1.87 GHz,,4 MB,,40 W,LGA 771,,,"December 4, 2006",HH80556JH0364M,$412,,,,,,,,1066 MT/s,7×,1.0V–1.5V V,,,,,,,
402,Xeon LV 5133,SLABJ (B2) SLAG5 (G0),2,2.2 GHz,,4 MB,,40 W,LGA 771,,,"June 26, 2006",HH80556JG0494M,OEM,,,,,,,,800 MT/s,11×,1.0–1.5 V,,,,,,,
403,Xeon LV 5138,SL9RN (B2) SLAG3 (G0),2,2.13 GHz,,4 MB,,35 W,LGA 771,,,"December 4, 2006",HH80556JH0464M,$617,,,,,,,,1066 MT/s,8×,1.0–1.5 V,,,,,,,
404,Xeon LV 5148,SL9RR (B2) SLABH (B2) SLAG4 (G0),2,2.33 GHz,,4 MB,,40 W,LGA 771,,,"September 27, 2006",HH80556JJ0534M BX805565148A BX805565148P,$519,,,,,,,,1333 MT/s,7×,1.0–1.5 V,,,,,,,
406,Xeon E5205,SLANG (C0) SLBAU (E0),2,1.87 GHz,,6 MB,,65 W,LGA 771,,,"November 11, 2007",EU80573KH0366M AT80573KH0366M,$177,,,,,,,,1066 MT/s,7×,0.85–1.35 V,,,,,,,
407,Xeon E5220,SLANF (C0) SLBAT (E0),2,2.33 GHz,,6 MB,,65 W,LGA 771,,,"February 27, 2008",EU80573KJ0536M AT80573QJ0536M,OEM,,,,,,,,1333 MT/s,7×,0.85–1.35 V,,,,,,,
408,Xeon E5240,SLAND (C0) SLBAW (E0),2,3 GHz,,6 MB,,65 W,LGA 771,,,"February 27, 2008",EU80573KJ0806M AT80573QJ0806M,OEM,,,,,,,,1333 MT/s,9×,0.85–1.35 V,,,,,,,
409,Xeon X5260,SLANJ (C0) SLBAS (E0),2,3.33 GHz,,6 MB,,80 W,LGA 771,,,"November 11, 2007",EU80573KJ0936M AT80573KJ0936M,$851,,,,,,,,1333 MT/s,10×,0.85–1.35 V,,,,,,,
410,Xeon X5270,SLBAQ (E0),2,3.5 GHz,,6 MB,,80 W,LGA 771,,,"September 8, 2008",AT80573KJ1006M,$1172,,,,,,,,1333 MT/s,10.5×,0.85–1.35 V,,,,,,,
411,Xeon X5272,SLANH (C0) SLBAR (E0),2,3.4 GHz,,6 MB,,80 W,LGA 771,,,"November 11, 2007",EU80573KL0966M AT80573KL0966M,$1172,,,,,,,,1600 MT/s,8.5×,0.85–1.35 V,,,,,,,
413,Xeon L5215,SLBB3 (E0),2,1.87 GHz,,6 MB,,20 W,LGA 771,,,"September 8, 2008",AT80573JH0366M,OEM,,,,,,,,1066 MT/s,7×,0.85–1.35 V,,,,,,,
414,Xeon L5238,SLANM (C0) SLBAZ (E0),2,2.67 GHz,,6 MB,,35 W,LGA 771,,,"February 27, 2008",EU80573JJ0676M AT80573JJ0676MT,OEM,,,,,,,,1333 MT/s,8×,0.85–1.35 V,,,,,,,
415,Xeon L5240,SLAS3 (C0) SLBAY (E0),2,3 GHz,,6 MB,,40 W,LGA 771,,,"February 27, 2008",EU80573JJ0806M AT80573JJ0806M,$669,,,,,,,,1333 MT/s,9×,0.85–1.35 V,,,,,,,
416,Xeon L5248,SLBAV (E0),2,3 GHz,,6 MB,,55 W,LGA 771,,,"September 8, 2008",AT80573KJ0806MT,OEM,,,,,,,,1333 MT/s,9×,0.85–1.35 V,,,,,,,
418,Xeon X3210,SL9UQ (B3) SLACU (G0),4,2.13 GHz,,2 × 4 MB,,105 W 100 W,LGA 775,,,"January 7, 2007",HH80562QH0468M BX80562X3210,$690,,,,,,,,1066 MT/s,8×,0.85–1.5 V,,,,,,,
419,Xeon X3220,SL9UP (B3) SLACT (G0),4,2.4 GHz,,2 × 4 MB,,105 W 100 W,LGA 775,,,"January 7, 2007",HH80562QH0568M BX80562X3220,$851,,,,,,,,1066 MT/s,9×,0.85–1.5 V,,,,,,,
420,Xeon X3230,SLACS (G0),4,2.67 GHz,,2 × 4 MB,,100 W,LGA 775,,,"July 27, 2007",HH80562QH0678M BX80562X3230,$530,,,,,,,,1066 MT/s,10×,0.85–1.5 V,,,,,,,
422,Xeon X3320,SLAWF (M1) SLB69 (R0),4,2.5 GHz,,2 × 3 MB,,95 W,LGA 775,,,"January 7, 2008",EU80580KJ0606M AT80580KJ0606M,$266,,,,,,,,1333 MT/s,7.5×,0.85–1.3625 V,,,,,,,
423,Xeon X3330,SLB6C (R0),4,2.67 GHz,,2 × 3 MB,,95 W,LGA 775,,,"August 10, 2008",AT80580KJ0676M,$266,,,,,,,,1333 MT/s,8×,0.85–1.3625 V,,,,,,,
425,Xeon X3350,SLAN7 (C0) SLAX2 (C1) SLB8Y (E0),4,2.67 GHz,,2 × 6 MB,,95 W,LGA 775,,,"January 7, 2008",EU80569KJ067N AT80569KJ067N BX80569X3350,$316,,,,,,,,1333 MT/s,8×,0.85–1.3625 V,,,,,,,
426,Xeon X3360,SLAN5 (C0) SLAWZ (C1) SLB8X (E0),4,2.83 GHz,,2 × 6 MB,,95 W,LGA 775,,,"January 7, 2008",EU80569KJ073N AT80569KJ073N BX80569X3360,$530,,,,,,,,1333 MT/s,8.5×,0.85–1.3625 V,,,,,,,
427,Xeon X3370,SLB8Z (E0),4,3 GHz,,2 × 6 MB,,95 W,LGA 775,,,"August 10, 2008",AT80569KJ080N,$530,,,,,,,,1333 MT/s,9×,0.85–1.3625 V,,,,,,,
428,Xeon X3380,SLGPG (E0),4,3.17 GHz,,2 × 6 MB,,95 W,LGA 775,,,"February 22, 2009",AT80569KJ087N,$530,,,,,,,,1333 MT/s,9.5×,0.85–1.3625 V,,,,,,,
430,Xeon L3360,SLGPF (E0),4,2.83 GHz,,2 × 6 MB,,65 W,LGA 775,,,"February 22, 2009",AT80569JJ073N,$369,,,,,,,,1333 MT/s,8.5×,0.85–1.3625 V,,,,,,,
432,Xeon X3323,SLASE (C1) SLBC5 (E0),4,2.5 GHz,,2 × 3 MB,,80 W,LGA 771,,,March 2008,EU80584KJ060J AT80584KJ060J,OEM,,,,,,,,1333 MT/s,7.5×,0.85–1.35 V,,,,,,,
433,Xeon X3353,SLASD (C1) SLBC4 (E0),4,2.67 GHz,,2 × 6 MB,,80 W,LGA 771,,,March 2008,EU80584KJ067N AT80584KJ067N,OEM,,,,,,,,1333 MT/s,8×,0.85–1.35 V,,,,,,,
434,Xeon X3363,SLASC (C1) SLBC3 (E0),4,2.83 GHz,,2 × 6 MB,,80 W,LGA 771,,,March 2008,EU80584KJ073N AT80584KJ073N,OEM,,,,,,,,1333 MT/s,8.5×,0.85–1.35 V,,,,,,,
436,Xeon E5310,SL9XR (B3) SLACB (B3) SLAEM (G0),4,1.6 GHz,,2 × 4 MB,,80 W,LGA 771,,,"November 14, 2006",HH80563QH0258M,$455,,,,,,,,1066 MT/s,6×,1.0–1.5 V,,,,,,,
437,Xeon E5320,SL9MV (B3) SLAC8 (B3) SLAEL (G0),4,1.87 GHz,,2 × 4 MB,,80 W,LGA 771,,,"November 14, 2006",HH80563QH0368M,$690,,,,,,,,1066 MT/s,7×,1.0–1.5 V,,,,,,,
438,Xeon E5330[5],SL9MW,4,2.13 GHz,,2 × 4 MB,,80 W,LGA 771,,,,HH80563QH0468M,OEM,,,,,,,,1066 MT/s,8×,1.0–1.5 V,,,,,,,
439,Xeon E5335,SL9YK (B3) SLAC7 (B3) SLAEK (G0),4,2 GHz,,2 × 4 MB,,80 W,LGA 771,,,"November 14, 2006",HH80563QJ0418M,$690,,,,,,,,1333 MT/s,6×,1.0–1.5 V,,,,,,,
440,Xeon E5340[6],SL9MY,4,2.4 GHz,,2 × 4 MB,,80 W,LGA 771,,,,HH80563KH0568M,OEM,,,,,,,,1066 MT/s,9×,1.0–1.5 V,,,,,,,
441,Xeon E5345,SL9YL (B3) SLAC5 (B3) SLAEJ (G0),4,2.33 GHz,,2 × 4 MB,,80 W,LGA 771,,,"November 14, 2006",HH80563QJ0538M,$851,,,,,,,,1333 MT/s,7×,1.0–1.5 V,,,,,,,
442,"Xeon E5350, X5350[7]",SL9N2,4,2.67 GHz,,2 × 4 MB,,"80,120 W",LGA 771,,,,HH80563KH0678M,OEM,,,,,,,,1066 MT/s,10×,1.0–1.5 V,,,,,,,
443,Xeon X5355,SL9YM (B3) SLAC4 (B3) SLAEG (G0),4,2.67 GHz,,2 × 4 MB,,120 W,LGA 771,,,"November 14, 2006",HH80563KJ0678M,$1172,,,,,,,,1333 MT/s,8×,1.0–1.5 V,,,,,,,
444,Xeon X5365,SLAC3 (B3) SLAED (G0),4,3 GHz,,2 × 4 MB,,"150,120 W",LGA 771,,,"March 12, 2007",HH80563KJ0808MP,$1350,,,,,,,,1333 MT/s,9×,1.0–1.5 V,,,,,,,
446,Xeon L5310,SL9MT (B3) SLACA (B3) SLAEQ (G0),4,1.6 GHz,,2 × 4 MB,,50 W,LGA 771,,,"March 12, 2007",HH80563JH0258M,$455,,,,,,,,1066 MT/s,6×,1.1–1.25 V,,,,,,,
447,Xeon L5318,SLAJE (G0),4,1.6 GHz,,2 × 4 MB,,40 W,LGA 771,,,"August 13, 2007",HH80563JH0258MT,OEM,,,,,,,,1066 MT/s,6×,0.9–1.25 V,,,,,,,
448,Xeon L5320,SLA4Q (B3) SLAC9 (B3) SLAEP (G0),4,1.87 GHz,,2 × 4 MB,,50 W,LGA 771,,,"March 12, 2007",HH80563JH0368M,$519,,,,,,,,1066 MT/s,7×,1.1–1.25 V,,,,,,,
449,Xeon L5335,SLAEN (G0),4,2 GHz,,2 × 4 MB,,50 W,LGA 771,,,"August 13, 2007",HH80563JJ0418MP,$380,,,,,,,,1333 MT/s,6×,1.1–1.25 V,,,,,,,
